add_time,prod_id,prod_name,prod_price,prod_store,prod_url,shop_list,store_id,store_rates,store_score,store_url
2019-11-04,49988589517,雅迪（yadea）电动车豪战加长版电瓶车成人男女代步车电动摩托车精致版黑色,3099,雅迪骑行专卖店,https://item.jd.com/49988589517.html,"['商品名称：雅迪（yadea）电动车豪战加长版电瓶车成人男女代步车电动摩托车精致版黑色', '商品编号：49988589517', '店铺：', '商品毛重：60.0kg', '商品产地：中国大陆', '货号：haozhan', '理论时速：30km/h以上', '重量：40kg以上', '车型：电动摩托车', '轮圈尺寸：10英寸', '理论续航：61-80km', '是否可折叠：不可折叠', '额定功率：501-1000W', '电池容量：21-30AH', '电池类型：铅酸电池', '变速档位：其它', '电池电压：60V', '标准认证：CCC认证', '款式：两轮', '电池能否拆卸：不可拆卸', '适用人群：通用', '是否支持脚踏：不支持脚踏']",913964,评价7600+,3.5,https://mall.jd.com/index-913964.html
2019-11-04,49927298513,雅迪新款米彩龟王60V豪华电动车轻便代步踏板电瓶车男女电摩靠背版白色,3099,雅迪官方旗舰店,https://item.jd.com/49927298513.html,"['商品名称：雅迪新款米彩龟王60V豪华电动车轻便代步踏板电瓶车男女电摩靠背版白色', '商品编号：49927298513', '店铺：', '商品毛重：92.0kg', '货号：米彩', '车型：电动摩托车', '理论时速：30km/h以上', '额定功率：501-1000W', '电池能否拆卸：不可拆卸', '电池容量：11-20AH', '理论续航：41-60km', '电池类型：铅酸电池', '重量：40kg以上', '电池电压：60V', '变速档位：2速/内二速', '适用人群：通用', '轮圈尺寸：10英寸', '是否可折叠：不可折叠', '款式：两轮', '是否支持脚踏：不支持脚踏']",943745,评价3500+,3.0,https://mall.jd.com/index-943745.html
2019-11-04,16370580542,雅迪（yadea）折叠电动自行车锂电成人男女超轻便携迷你小型助力代驾代步电瓶车F348VF3星空黑48V14A助力约90-100,2699,雅迪运动户外旗舰店,https://item.jd.com/16370580542.html,"['商品名称：雅迪（yadea）折叠电动自行车锂电成人男女超轻便携迷你小型助力代驾代步电瓶车F348VF3星空黑48V14A助力约90-100', '商品编号：16370580542', '店铺：', '商品毛重：25.0kg', '商品产地：中国大陆', '货号：TDT2203Z', '车型：折叠电动车', '理论时速：21-30km/h', '额定功率：250W及以下', '电池能否拆卸：可拆卸', '电池容量：11-20AH', '理论续航：41-60km', '电池类型：锂电池', '重量：21-30kg', '电池电压：48V', '变速档位：单速', '适用人群：通用', '轮圈尺寸：14英寸', '是否可折叠：可折叠', '款式：两轮', '是否支持脚踏：支持脚踏']",97865,评价1.4万+,3.5,https://mall.jd.com/index-97865.html
2019-11-04,52086437561,雅迪电动车电瓶车新国标电动摩托车成人代步助力车电动自行车滑板车外卖电单车亲子小王子PLUS黑色-电池可取,2299,雅迪格莱普专卖店,https://item.jd.com/52086437561.html,"['商品名称：雅迪电动车电瓶车新国标电动摩托车成人代步助力车电动自行车滑板车外卖电单车亲子小王子PLUS黑色-电池可取', '商品编号：52086437561', '店铺：', '商品毛重：50.0kg', '商品产地：中国大陆', '货号：小王子', '理论时速：21-30km/h', '重量：40kg以上', '电池能否拆卸：可拆卸', '车型：电动自行车', '理论续航：21-30km，31-40km', '电池类型：铅酸电池', '是否可折叠：不可折叠', '电池电压：48V', '变速档位：其它', '标准认证：CCC认证', '款式：两轮', '适用人群：通用', '是否支持脚踏：支持脚踏']",10062914,评价600+,4.5,https://mall.jd.com/index-10062914.html
2019-11-04,46269103323,雅迪（yadea）新款米彩电动车20AH时尚小龟王代步车电动轻便摩托车自行车电瓶车雪珠白后靠背,3099,雅迪骑行专卖店,https://item.jd.com/46269103323.html,"['商品名称：雅迪（yadea）新款米彩电动车20AH时尚小龟王代步车电动轻便摩托车自行车电瓶车雪珠白后靠背', '商品编号：46269103323', '店铺：', '商品毛重：65.0kg', '商品产地：中国大陆', '货号：micia', '理论时速：30km/h以上', '重量：40kg以上', '车型：电动摩托车', '轮圈尺寸：12英寸', '变速档位：单速', '是否可折叠：不可折叠', '额定功率：251-500W', '电池容量：21-30AH', '电池类型：铅酸电池', '适用人群：通用', '是否支持脚踏：不支持脚踏', '电池电压：60V', '标准认证：CCC认证', '电池能否拆卸：不可拆卸', '理论续航：41-60km', '款式：两轮', '上市时间：2019年夏季']",913964,评价1400+,3.5,https://mall.jd.com/index-913964.html
2019-11-04,57586062621,雅迪新款尚酷48V电动车踏板电瓶车亲子代步电动自行车简易款TDT1157Z黑色,2099,雅迪官方旗舰店,https://item.jd.com/57586062621.html,"['商品名称：雅迪新款尚酷48V电动车踏板电瓶车亲子代步电动自行车简易款TDT1157Z黑色', '商品编号：57586062621', '店铺：', '商品毛重：55.0kg', '货号：尚酷', '理论时速：21-30km/h', '电池能否拆卸：不可拆卸', '车型：电动自行车', '电池类型：铅酸电池', '理论续航：31-40km', '重量：40kg以上', '电池电压：48V', '款式：两轮', '是否可折叠：不可折叠', '变速档位：单速', '适用人群：通用', '是否支持脚踏：支持脚踏']",943745,评价20+,3.0,https://mall.jd.com/index-943745.html
2019-11-04,15017523286,雅迪（yadea）电动自行车成人男女式小型踏板亲子代步电瓶车新国标新款小王子48V12A小王子-尊享版,2599,雅迪晖涓专卖店,https://item.jd.com/15017523286.html,"['商品名称：雅迪（yadea）电动自行车成人男女式小型踏板亲子代步电瓶车新国标新款小王子48V12A小王子-尊享版', '商品编号：15017523286', '店铺：', '商品毛重：54.0kg', '商品产地：中国大陆', '货号：速跃', '理论时速：21-30km/h', '重量：40kg以上', '电池能否拆卸：不可拆卸', '车型：电动自行车', '理论续航：31-40km', '电池类型：铅酸电池', '是否可折叠：不可折叠', '电池电压：48V', '变速档位：单速', '标准认证：CCC认证', '款式：两轮', '适用人群：通用', '是否支持脚踏：支持脚踏']",605340,评价500+,4.5,https://mall.jd.com/index-605340.html
2019-11-04,40191236613,雅迪（yadea）莱客新款成人男女时尚豪华款电动摩托车助力电瓶车滑板车皓月白,4499,雅迪骑行专卖店,https://item.jd.com/40191236613.html,"['商品名称：雅迪（yadea）莱客新款成人男女时尚豪华款电动摩托车助力电瓶车滑板车皓月白', '商品编号：40191236613', '店铺：', '商品毛重：1.0kg', '商品产地：中国大陆', '货号：laike', '理论时速：21-30km/h', '重量：40kg以上', '车型：电动摩托车', '轮圈尺寸：10英寸', '理论续航：61-80km', '是否可折叠：不可折叠', '额定功率：501-1000W', '电池容量：11-20AH', '电池类型：铅酸电池', '变速档位：其它', '电池电压：60V', '标准认证：CE认证', '款式：两轮', '电池能否拆卸：不可拆卸', '适用人群：通用', '是否支持脚踏：不支持脚踏']",913964,评价700+,3.5,https://mall.jd.com/index-913964.html
2019-11-04,49923784953,雅迪新款豪战电动车60V豪华电摩时尚代步轻便电瓶车精致版白,3099,雅迪官方旗舰店,https://item.jd.com/49923784953.html,"['商品名称：雅迪新款豪战电动车60V豪华电摩时尚代步轻便电瓶车精致版白', '商品编号：49923784953', '店铺：', '商品毛重：100.0kg', '货号：豪战', '理论时速：30km/h以上', '车型：电动摩托车', '电池能否拆卸：不可拆卸', '轮圈尺寸：10英寸', '理论续航：41-60km', '电池类型：铅酸电池', '重量：40kg以上', '电池电压：60V', '变速档位：其它', '适用人群：通用', '款式：两轮', '电池容量：11-20AH', '是否可折叠：不可折叠', '是否支持脚踏：不支持脚踏']",943745,评价2100+,3.0,https://mall.jd.com/index-943745.html
2019-11-04,54118645758,雅迪电动车电动自行车电瓶车新国标电动摩托车成人滑板车代步车助力车亲子外卖电单车锂电池-黑色A325,2699,雅迪通华专卖店,https://item.jd.com/54118645758.html,"['商品名称：雅迪电动车电动自行车电瓶车新国标电动摩托车成人滑板车代步车助力车亲子外卖电单车锂电池-黑色A325', '商品编号：54118645758', '店铺：', '商品毛重：40.0kg', '商品产地：中国大陆', '货号：a325', '理论时速：21-30km/h', '重量：31-40kg', '车型：电动自行车', '轮圈尺寸：14英寸', '理论续航：41-60km', '是否可折叠：不可折叠', '额定功率：251-500W', '电池容量：11-20AH', '电池类型：锂电池', '变速档位：其它', '电池电压：48V', '标准认证：CCC认证', '款式：两轮', '电池能否拆卸：可拆卸', '适用人群：通用', '是否支持脚踏：支持脚踏']",10070399,评价60+,4.0,https://mall.jd.com/index-10070399.html
