auctionSku,cmsSource,rateContent,rateDate
电压:48V;颜色分类:蓝色,天猫,很好看，质量很好，同事们也一起试过我的车，大品牌就是好！,2019-09-27 07:16:48
电压:48V;颜色分类:黑色,天猫,雅迪电动车很满意，颜色漂亮，性价比高，送货师傅服务周到，安装很专业非常好，国庆节都没有休息辛苦了，非常感谢，还有客服肉肉有问必答，耐心细致态度超赞，。,2019-10-02 19:40:53
电压:48V;颜色分类:蓝色,天猫,商品品质：骑行很轻便，电动机几乎静音。物流小哥服务很好，安装时少了一个工具脚踏板无法装上，特意到小区门口借了一个工具才装好，前后忙乎了一个多小时。大赞一个！,2019-10-04 21:38:29
电压:48V;颜色分类:黑色,天猫,老妈很满意，收到后就骑了一段，表姐也试骑了，想要买，什么时候再做活动？,2019-10-06 19:58:21
电压:48V;颜色分类:黑色,天猫,减震效果：减震效果很好，车身无异响 商品品质：做工细致，漆水光亮 安装方便：专业安装师傅上门安装，无后顾之忧 电池续航：充一次电陆陆续续骑了三天还显示100%电量。非常喜欢这个短小精悍的电动车。不错！,2019-09-30 09:21:04
电压:48V;颜色分类:黑色,天猫,雅迪电动车大品牌，实物与描述相符，日日顺物流也很给力，佛山中心张桂服务兵很专业，点赞！棒棒！,2019-10-03 14:06:02
电压:48V;颜色分类:蓝色,天猫,个人感觉减震效果不错。晚上送货，第二天发现车把在靠近脚踏板处两侧都有磕碰。不知道是哪个环节弄的，感觉也算正常，在所难免。具体车子情况还需要使用一段时间。,2019-09-18 10:56:56
电压:48V;颜色分类:蓝色,天猫,车子不错，很好骑，快递服务相当到位，给安装好,2019-10-02 16:37:23
电压:48V;颜色分类:蓝色,天猫,挺好的电动车，后座空间大，座椅也舒服，不错哦,2019-10-06 09:05:39
电压:48V;颜色分类:蓝色,天猫,电池续航：很好 减震效果：很好 商品品质：很好 安装方便：非常方便！,2019-09-30 15:19:15
电压:48V;颜色分类:黑色,天猫,发的什么破物流 都确认收货好久了 我车呢,2019-10-07 11:28:43
电压:48V;颜色分类:蓝色,天猫,整体暂时没问题 师父服务周到 没上路保留意见,2019-09-30 13:36:09
电压:48V;颜色分类:黑色,天猫,刚收到，体验了下还不错，电池轻便，提上楼充电方便，物流安装人员也不错，很快就安装完,2019-09-26 15:52:07
电压:48V;颜色分类:蓝色,天猫,减震效果：还挺好的 安装方便：有物流师傅帮忙安装,2019-09-26 10:14:34
电压:48V;颜色分类:黑色,天猫,电动车很好看，质量超级棒，师傅安装超级负责，车子性能非常好！,2019-09-26 10:39:59
电压:48V;颜色分类:蓝色,天猫,配送师傅服务不错，提前通知收货，帮忙安装，简单粗暴，有点小心疼哈.,2019-09-26 21:53:22
电压:48V;颜色分类:黑色,天猫,很愉快的一次购物体验。雅迪电动车大品牌值得信赖。师傅安装专业，给益阳日日顺师傅点👍。,2019-09-28 12:25:34
电压:48V;颜色分类:黑色,天猫,电动车很不错，大灯很亮，还有转向灯。快递小哥人很好，耐心把电动车组装完成！很好,2019-09-29 17:19:02
电压:48V;颜色分类:黑色,天猫,雅迪电动车外观好看，动力十足，相信大品牌的质量。质量非常好，物流给力，安装到位。,2019-10-03 15:06:33
电压:48V;颜色分类:黑色,天猫,物流很快，安装师傅很负责，总体感觉不错，使用后再来评价,2019-10-02 14:11:40
电压:48V;颜色分类:黑色,天猫,非常好👍非常好👍雅迪电动车可以送货师傅安装专业非常好👍,2019-09-29 13:37:22
电压:48V;颜色分类:蓝色,天猫,外观完好，物流速度快，安装服务到位，非常满意,2019-09-30 10:40:52
电压:48V;颜色分类:蓝色,天猫,师傅很细心，提前到货。,2019-09-18 10:55:14
电压:48V;颜色分类:蓝色,天猫,安装方便：安装方便，性价比高，师傅服务好，态度亲切。,2019-09-30 10:37:51
电压:48V;颜色分类:蓝色,天猫,电动车质量好，日日顺物流服务满分，安装到位，大品牌值得信赖。,2019-10-03 15:08:18
电压:48V;颜色分类:蓝色,天猫,选择了很长时间决定购买雅迪这个品牌，电池好，车辆轻便，很实用，小孩坐在后边也安全，且价格合理。,2019-09-25 16:07:03
电压:48V;颜色分类:黑色,天猫,安装师傅非常用心，非常棒！,2019-10-06 20:10:25
电压:48V;颜色分类:黑色,天猫,颜色很好看，跟图片一致，骑着很稳，安装师傅服务也很好很专业，五星好评[爱心][爱心][爱心],2019-09-29 10:36:18
电压:48V;颜色分类:黑色,天猫,雅迪电动车很满意，日日顺物流很快，送货师傅服务周到，安装调试正常，五星好评,2019-10-01 12:20:39
电压:48V;颜色分类:蓝色,天猫,质量不错，速度不是很快，适合新手。要是再轻点就好了。颜色很漂亮，操控也方便,2019-09-22 10:01:23
电压:48V;颜色分类:蓝色,天猫,9.9拍的 实际收到应该将近20号 物流真的太太太慢了 不过安装师傅挺熟练的 小车车也特别好看 骑起来也比较舒服,2019-09-23 14:57:57
电压:48V;颜色分类:黑色,天猫,外观黑色，大气美观，行车动力十足，爬坡轻松。买回来使用几天，非常好用 。快递送货快，没有任何剐蹭，包安装，非常满意。,2019-09-04 17:12:13
电压:48V;颜色分类:蓝色,天猫,商品品质：骑了一个星期不到，避震器就漏油了，希望商家能协助尽快解决,2019-09-21 19:14:49
电压:48V;颜色分类:黑色,天猫,雅迪电动车实物与描述相符，大品牌做工非常棒。日日顺物流也很给力，沂水日日顺中心韩兴超服务兵很专业，点赞！！！,2019-10-02 17:34:53
电压:48V;颜色分类:蓝色,天猫,小车很美雅迪大品牌很棒，日日顺物流很给力，点赞，送货小哥赖志裕讲解很仔细,2019-09-21 17:16:25
电压:48V;颜色分类:黑色,天猫,货已经收到，质量不错，目前没发现问题，日日顺物流有帮忙安装，态度好,2019-09-28 13:09:11
电压:48V;颜色分类:蓝色,天猫,骑上我心爱的小电车，它永远不会堵车,2019-09-27 16:52:11
电压:48V;颜色分类:黑色,天猫,车很好看，骑着也很舒服，非常满意。,2019-09-28 12:58:49
电压:48V;颜色分类:黑色,天猫,车子还是不错的，骑起来舒服，就是速度慢了点，新国标没办法了。。。物流送货来的时候没帮安装，联系客服解决了，赞一个。 目前来说总体上还是不错的，不知道用一段时间后怎样，到时再追评吧,2019-09-18 19:16:34
电压:48V;颜色分类:蓝色,天猫,商品品质：做工差，螺丝帽容易坏，物流安装没有工具，随带工具不全，龙头有洞少配件封口。脚踏螺丝帽无法取，物流人员让我自己装。下次再也不网上买这样的车了。淘宝上购物最差的体检 安装方便：不方便非常难装主要是部件质量太差了，没有专业人员居然也不弄安装指南和相应工具。医疗器械都能装的我被难住了,2019-09-28 14:55:25
电压:48V;颜色分类:蓝色,天猫,挺好的！非常好看！骑着很好！,2019-10-01 20:47:38
电压:48V;颜色分类:黑色,天猫,日日顺物流公司送货上门 安装服务很满意，安装师傅很专业 电动车很漂亮 五星级好评,2019-08-31 13:27:31
电压:48V;颜色分类:蓝色,天猫,电动车整体质量还可以，但是也有不足的地方，这个价位不能要求太高，骑了三天，脚踏板就掉了，和客服沟通后很快就补发了，然后去上牌照，需要车辆合格证，客服说随车配送的，但是没有找到，可能是点背吧，也没有提供收货清单，现在说啥也晚了，网上购物也有遗憾的地方,2019-09-28 10:31:29
电压:48V;颜色分类:蓝色,天猫,减震效果：可以 商品品质：好 安装方便：安装到位，车小巧精致，很是便捷。 送货到位，很棒呢，推荐大家购买哦。,2019-09-17 12:57:08
电压:48V;颜色分类:蓝色,天猫,商品品质：我刚骑车回来，准备停车，就惊呆傻眼了！后座没了！！！关键是我都不知道除了出厂时没装紧、不然后座为什么能掉！！！难道这就是传说中的更高端的电动车？？？还是雅迪电商就是专门用来倾销有质量问题的次品的！！！,2019-09-27 23:45:38
电压:48V;颜色分类:蓝色,天猫,安装师傅很热情，颜色很喜欢，电池很方便，就是很满意的意思！,2019-09-20 13:02:42
电压:48V;颜色分类:蓝色,天猫,配送物流服务非常好，提前电话联系，师傅们特别热心，送到家门口还帮忙安装了车子，服务五星。在线客服也非常有耐心，不厌其烦回答每个问题。已经出门骑了两次，电量还是100%，感觉非常棒。,2019-09-17 09:19:17
电压:48V;颜色分类:蓝色,天猫,货本身还可以，售后服务有很大的改进空间。,2019-10-02 21:06:58
电压:48V;颜色分类:黑色,天猫,嗯非常好骑 故意骑了一段时间再来评价的果然没让我失望买车就得买牌子货 至少靠谱呀,2019-09-13 18:34:45
电压:48V;颜色分类:蓝色,天猫,雅迪电动车大品牌真棒好用值得信赖！东莞日日顺也很专业高效，给东莞服务兵曾文青点赞👍,2019-09-10 16:51:24
电压:48V;颜色分类:蓝色,天猫,减震效果：雅迪电动车实物与描述相符，大l 品牌做工非常精致日日顺物流也给力日日顺小叶很专业，点赞👍,2019-09-13 14:38:57
电压:48V;颜色分类:蓝色,天猫,还不错南京日日顺物流送货很快师傅安装很好，颜色没图片好看，其他OK,2019-09-15 13:55:13
电压:48V;颜色分类:蓝色,天猫,雅迪电动车高端大气，日日顺物流送货及时，送货师傅服务很好！电动车质量好，试骑效果不错，孩子也很喜欢。,2019-09-13 12:36:19
电压:48V;颜色分类:蓝色,天猫,外观精美，车型小巧，设计合理，安装师傅耐心服务周到，价格实惠,2019-09-16 10:00:35
电压:48V;颜色分类:蓝色,天猫,师傅有帮忙安装，送货上门了。 现在刚开始，希望后面不会有问题。 图片是和老家视频聊天的截图，寄回老家的。,2019-09-15 20:28:31
电压:48V;颜色分类:蓝色,天猫,雅迪电动车和店家描述的一样，日日顺物流很快很给力！赞👍,2019-09-22 12:47:58
电压:48V;颜色分类:蓝色,天猫,收到货了，骑起来还不错，合格证看起来也没错，等过几天上牌看看。日日顺安装也便利，服务也不错。,2019-09-14 16:43:22
电压:48V;颜色分类:蓝色,天猫,雅迪品牌值得信赖！质量非常好，还有物流很给力，送货，拆箱，验车，钟通奇师傅服务的很好，必须5星好评！,2019-09-15 15:40:45
电压:48V;颜色分类:蓝色,天猫,减震效果：日日顺物流，服务很好，安装很快，送货上门安装，很专业，安装的也很快，赞。,2019-09-13 10:20:08
电压:48V;颜色分类:黑色,天猫,五星好评送给快递小哥，大晚上的九点了还加班送货，电车也很满意，,2019-09-03 21:43:22
电压:48V;颜色分类:蓝色,天猫,宝贝已收到了，已安装好，物流态度很好，值得五星好评！,2019-09-26 12:08:33
电压:48V;颜色分类:黑色,天猫,车车很漂亮，买来接送小孩的，方便很多。,2019-09-09 13:39:31
电压:48V;颜色分类:黑色,天猫,收到了，师傅贴心地上好了，骑着感觉不错，总体感觉外形比较精致小巧,2019-09-08 10:38:44
电压:48V;颜色分类:蓝色,天猫,两颗星是给质量的，质量本身还行，扣掉三颗星完全因为是全程太闹心了。车属于是新国标车，跑一会儿滴一下全程都在滴，很闹心，最后去实体店拔了线才不响，充电时充电器声音也挺大的，估计装了什么散热的，问客服也就说这是正常的，她也说不出为什么这么响，介意者慎拍。唯一很满意的就是物流服务，物流师傅特别热心负责。最不满意的就是客服态度，永远都在机械回应，回应得又慢，答非所问，问题解决不了，同一个问题问好几遍都没有提出建设性答案，让人特别恼火。最后是肉肉客服帮忙解决的。雅迪车质量还是过关的，就是服务态度不行，搞得我一个从来不差评的人都忍不住了&hellip;&hellip; 减震效果：挺好 商品品质：挺好 安装方便：专门人安装 电池续航：第一次用感觉还行,2019-09-29 16:46:18
电压:48V;颜色分类:蓝色,天猫,产品好 物流快 配送时间很快 师傅安装的也很用心 很满意的一次购物,2019-09-17 13:35:26
电压:48V;颜色分类:蓝色,天猫,安装方便：货已收到，非常喜欢，大品牌值得信赖，日日顺物流非常快，感谢罗师傅！,2019-09-14 16:02:22
电压:48V;颜色分类:蓝色,天猫,车很漂亮，师傅组装很快很专业。现在上路测试鲎再来评价！,2019-09-15 11:05:40
电压:48V;颜色分类:蓝色,天猫,此用户没有填写评论!,2019-09-12 12:01:59
电压:48V;颜色分类:黑色,天猫,雅迪电动车正品，日日盛物流专业。龙豪中心王猛服务专业，点赞。,2019-09-08 16:09:56
电压:48V;颜色分类:黑色,天猫,试过了，还可以，没有特别惊艳，中规中矩吧,2019-09-29 08:24:23
电压:48V;颜色分类:蓝色,天猫,物流服务很好，上门安装的。电动车很可爱，希望能用得久一点。,2019-09-18 16:49:41
电压:48V;颜色分类:蓝色,天猫,"车子很喜欢,没有问题,送货师傅很耐心,安装很仔细,态度很好很满意",2019-09-18 18:19:05
电压:48V;颜色分类:蓝色,天猫,此用户没有填写评论!,2019-09-13 14:53:32
电压:48V;颜色分类:蓝色,天猫,车挺漂亮，安装师傅很认真，骑起来也不错。,2019-09-18 06:55:31
电压:48V;颜色分类:蓝色,天猫,不错， 每天接送孩子上学！ 就是报警有些太吵，不知道如何彻底关掉。,2019-09-09 11:07:54
电压:48V;颜色分类:蓝色,天猫,非常好，很满意，快递师傅也非常给力，点赞!,2019-09-12 10:40:57
电压:48V;颜色分类:蓝色,天猫,物流服务时间比较及时，师傅热情负责,2019-09-16 13:07:21
电压:48V;颜色分类:蓝色,天猫,比想象中要好,2019-09-13 06:51:52
电压:48V;颜色分类:蓝色,天猫,很好不错,2019-09-11 13:09:12
电压:48V;颜色分类:蓝色,天猫,车子非常好。,2019-09-13 21:11:01
