add_time,area,date,name,price
2020-04-03,上海,2020-04-03,铝合金(ADC12),13900
2020-04-03,上海,2020-04-03,铝合金(ZLD102),12080
2020-04-03,无锡,2020-04-03,热轧窄带钢(2.5*145*C),3260
2020-04-03,无锡,2020-04-03,热轧窄带钢(1.5*(174-295)*C),3510
2020-04-03,无锡,2020-04-03,冷拔无缝管(32*3),5300
2020-04-03,上海,2020-04-03,冷轧无取向硅钢(0.35*1000*C),8300
2020-04-03,上海,2020-04-03,冷镦钢(φ6.5-15.5),3740
2020-04-03,常州,2020-04-03,弹簧圆钢(φ6.5),4530
2020-04-03,中石化华东,2020-04-03,PVC(S1000),5250
2020-04-03,江苏,2020-04-03,钛白粉(金红石型),15300
2020-04-03,华东,2020-04-03,金属镨钕(0.99),334500
2020-04-03,华东,2020-04-03,牛皮纸(175g),4950
2020-04-03,华南,2020-04-03,瓦楞纸(140g),3280
2020-04-03,华东,2020-04-03,铜版纸(157g),6550
